disaster_id,name_local,name_international,type,subtype,date_start,date_year,date_month,date_end,affected_families,affected_persons,dead,injured,missing,damaged_houses_full,damaged_houses_partial,damaged_properties_agri,damaged_properties_infra,damaged_properties_private,total_damage
Human-InducedHazard_2005-01-18_Fire,,,Fire,,2005-01-18,2005,01,,,,,,,,,,,,
Human-InducedHazard_2005-01-15_Fire,,,Fire,,2005-01-15,2005,01,,,,,,,,,,,,
Human-InducedHazard_2005-01-05_Fire,,,Fire,,2005-01-05,2005,01,,,,,,,,,,,,
Human-InducedHazard_2005-01-16_VehicularAccidentsSummary,,,Human-Induced Hazard,Vehicular Accidents Summary,2005-01,2005,01,,,58,6,1,,,,,,,
Human-InducedHazard_2005-01-16_PlaneCrash,,,Human-Induced Hazard,Plane Crash,2005-01-16,2005,01,,,,,,,,,,,,
Human-InducedHazard_2005-01-29_SeaMishap(ShipSunk),,,Human-Induced Hazard,Sea Mishap (Ship Sunk),2005-01-29,2005,01,,,,,,,,,,,,
Human-InducedHazard_2005-01-22_BusCrash,,,Human-Induced Hazard,Bus Crash,2005-01-22,2005,01,,,,,,,,,,,,
Flooding_2005-01-18_FlashFlood,,,Flooding,Flash Flood,2005-01-18,2005,1,2005-01-22,291,,1,,,,,0.14,0.23,,
Flooding_2005-01-18_FlashFlood,,,Flooding,Flash Flood,2005-01-18,2005,01,,291,,1,,,,,0.14,0.23,,
Flooding_2005-01-22_FlashFlood,,,Flooding,Flash Flood,2005-01-22,2005,01,2005-01-24,,,,,,,,,,,
BigWaves_2005-01-02_,,,Big Waves,,2005-01-02,2005,01,,,,,,,,,,,,
Mass Movement_2006-02-17_Mass Movement,,,Mass Movement,,2006-02-17,2006,02,,"3,850","18,862",156,28,968,375,,92.20,22.60,,
Human-InducedHazard_2006-08-11_M/TSolar1OilSpillageGuimaras,"M/T Solar 1 Oil Spillage, Guimaras",,Human-Induced Hazard,,2006-08-11,2006,08,,"8,580","42,109",,11,2,,,,,1.06,
Human-InducedHazard_2008-08-10_IDPsinMindanao,IDPs in Mindanao,,Human-Induced Hazard,,2008-08-10,2008,8,2009-07-14,"68,782","327,484",141,135,,"1,445",266,152.57,99.03,"
",
Human-InducedHazard_2007-11-20_ArmedConflictinSurigaoProvince,Armed Conflict in Surigao Province,,Human-Induced Hazard,Armed Conflict,2007-11-20,2007,11,2007-12-16,492,"2,226",,,,,,,,,
"Human-InducedHazard_2004-12-14_DisplacementinPalimbang,SultanKudaratProvince,RegionXII","Displacement in Palimbang, Sultan Kudarat Province, Region XII",,Human-Induced Hazard,Displacement,2004-12-14,2004,12,,"2,011","14,077",,,,,,,,,
"Flooding_2006-02-06_FloodingBroughtAboutbyNortheastMonsoonRainsinRegionV,XI,andCARAGA","Flooding Brought About by Northeast Monsoon Rains in Region V, XI, and CARAGA",,Flooding,,2006-02-06,2006,02,,"10, 365","51,784",1,,,5,5,,,,
ArmedConflict_2005-02-18_SuluArmedConflict,Sulu Armed Conflict,,Human-Induced Hazard,Armed Conflict,2005-02-18,2005,02,,"13,480","80,693",,,,110,,,,,
VolcanicHazard_2005-04-07_VolcanoesMonitoringActivity:KanlaonVolcano,Volcanoes Monitoring Activity: Kanlaon Volcano,,Volcanic Hazard,,2005-04-07,2005,04,,,,,,,,,,,,
VolcanicHazard_2005-04-07_VolcanoesMonitoringActivity:TaalVolcano,Volcanoes Monitoring Activity: Taal Volcano,,Volcanic Hazard,,2005-04-07,2005,04,,,,,,,,,,,,
VolcanicHazard_2005-04-07_VolcanoesMonitoringActivity:MayonVolcano,Volcanoes Monitoring Activity: Mayon Volcano,,Volcanic Hazard,,2005-04-07,2005,04,,,,,,,,,,,,
others_2005-03-22_ReportontheMissingFishermen,,,Report on the Missing Fishermen,,2005-03-22,2005,03,,,,,,,,,,,,
Human-InducedHazard_2005-07-07_MaritimeIncidentInvolvingMVPrincessoftheWorldofSulpicioShippingLinesInc.,Maritime Incident Involving MV Princess of the World of Sulpicio Shipping Lines Inc.,,Human-Induced Hazard,,2005-07-07,2005,07,,,207,,,,,,,,,
Mass Movement_2005-07-11_Mass MovementinJagnaBohol,"Mass Movement in Jagna, Bohol",,Mass Movement,,2005-07-11,2005,07,,,50,,,,10,,,0.14,,1.14
"Tornado_2005-07-23_TornadoIncidentinBarangayLitayen,BongoIsland,Parang,Maguindanao","Tornado Incident in Barangay Litayen, Bongo Island, Parang, Maguindanao",,Tornado,,2005-07-23,2005,07,,37,,,,,37,,,,,
TropicalCyclone_2005-07-06_TropicalDepressionEmong,Tropical Depression Emong,,Tropical Cyclone,Tropical Depression,2005-07-06,2005,07,,,,,,,,,,,,
Epidemic_2004-07-07_AcuteGastroenteritis(AGE)Outbreak,Acute Gastroenteritis (AGE) Outbreak,,Epidemic,Epidemic,2004-07-07,2004,7,2004-07-30,,"3,709",57,,,,,,,,
Epidemic_2004-07-01_DenguecasesinNuevaEcija,Dengue cases in Nueva Ecija,,Epidemic,Dengue,2004-07-01,2004,7,2004-07-26,,107,,,,,,,,,
Human-InducedHazard_2004-07-26_LPGExplosioninamotorizedbanca,LPG Explosion in a motorized banca,,Human-Induced Hazard,,2004-07-26,2004,07,,,,3,10,3,,,,,,
Human-InducedHazard_2004-07-23_EightStoreyBuilding(SAIBldg),Eight Storey Building (SAI Bldg),,Human-Induced Hazard,,2004-07-23,2004,07,,,,,,,,,,,1.00,
Human-InducedHazard_2004-07-10_,,,Human-Induced Hazard,,2004-07-10,2004,07,,,,,,,,3,,,0.07,
Human-InducedHazard_2004-07-11_,,,Human-Induced Hazard,,2004-07-11,2004,07,,,,3,,,,,,,0.09,
Human-InducedHazard_2004-07-18_,,,Human-Induced Hazard,,2004-07-18,2004,07,,75,,,2,,25,,,,,
Human-InducedHazard_2004-07-21_,,,Human-Induced Hazard,,2004-07-21,2004,07,,20,,,,,,,,,,
Human-InducedHazard_2004-07-23_,,,Human-Induced Hazard,,2004-07-23,2004,07,,,,,,,20,,,,,
Human-InducedHazard_2004-07-24_,,,Human-Induced Hazard,,2004-07-24,2004,07,,,,1,1,,,,,,1.00,
Human-InducedHazard_2004-07-26_,,,Human-Induced Hazard,,2004-07-26,2004,07,,,,3,,,,,,,0.23,
Human-InducedHazard_2004-07-29_,,,Human-Induced Hazard,,2004-07-29,2004,07,,,,0,0,,,,,,,
"Mass Movement_2004-07-10_Mass MovementatAtok,Benguet","Mass Movement at Atok, Benguet",,Mass Movement,,2004-07-10,2004,07,,,,,,,,,,,,
"Mass Movement_2004-07-25_Mass MovementatQuezon,Bukidnon","Mass Movement at Quezon, Bukidnon",,Mass Movement,,2004-07-25,2004,07,,,,1,3,,,,,,15.00,
Flooding_2004-07-12_FlashfloodIncidentsbroughtaboutbytheeffectsofTyphoonIgme,Flashflood Incidents brought about by the effects of Typhoon Igme,,Flooding,Flash Flood,2004-07-12,2004,07,,"2,915","13,890",8,11,,,,20.34,44.60,3.98,
"Flooding__FlashfloodinMabalacat,Pampaga","Flashflood in Mabalacat, Pampaga",,Flooding,Flash Flood,,,,,,,1,,,,,,,,
"Flooding__FloodinginTupi,SouthCotabato","Flooding in Tupi, South Cotabato",,Flooding,,,,,,100,,,,,,,,,,
"Tornado__TornadoatBrgy.Buras,TacurongCity","Tornado at Brgy. Buras, Tacurong City",,Tornado,,,,,,15,,,,,,,,,,
"Tornado_2004-07-21_TornadoatBrgy.Luna,Apayao","Tornado at Brgy. Luna, Apayao",,Tornado,,2004-07-21,2004,07,,24,126,,,,3,21,,,1.00,
"Tornado_2004-07-29_TornadaoatAnao,Tarlac","Tornadao at Anao, Tarlac",,Tornado,,2004-07-29,2004,07,,14,72,,,,6,8,,,,
"Earthquake__EarthquakeatBasco,Batanes","Earthquake at Basco, Batanes",,Earthquake,,,,,,,,,,,,,,,,
TropicalCyclone_2004-07-14_TropicalStormJulian,Tropical Storm Julian,Tropical Storm Kompasu,Tropical Cyclone,Weather Disturbance,2004-07-14,2004,7,2004-07-15,,,,,,,,,,,
TropicalCyclone_2005-03-14_TyphoonAuring,Typhoon Auring,Severe Tropical Storm Roke,Tropical Cyclone,,2005-03-14,2005,3,2005-03-18,"3,181","15,638",13,4,,,,1.11,1.00,,
TropicalCyclone_2005-08-02_TyphoonFeria,Typhoon Feria,Typhoon Haitang,Tropical Cyclone,,2005-08-02,2005,8,2005-08-05,,,,,,,,2.77,1.55,0.07,
TropicalCyclone_2005-09-21_TropicalStormLabuyo,Tropical Storm Labuyo,Typhoon Damrey,Tropical Cyclone,,2005-09-21,2005,9,2005-09-23,"63,335","314,941",9,5,5,34,"17,815",452.37,43.57,,
TropicalCyclone_2005-12-16_TropicalDepressionQuedan,Tropical Depression Quedan,Tropical Depression 25W,Tropical Cyclone,,2005-12-16,2005,12,2005-12-18,"99,818","478,983",26,6,16,240,"1,280","1,618.74",243.21,,
TropicalCyclone_2003-07-30_TropicalDepressionIneng,Tropical Depression Ineng,n/a,Tropical Cyclone,Tropical Depression,2003-07-30,2003,7,2003-07-31,650,"3,748",21,,,12,52,1.41,6.29,0.29,7.99
TropicalCyclone_2003-09-02_TyphoonOnyok,Typhoon Onyok,Typhoon Dujuan,Tropical Cyclone,Typhoon,2003-09-02,2003,9,2003-09-03,"6,531","34,247",,,,,,,,,
TropicalCyclone_2003-10-29_TropicalDepressionUrsula,Tropical Depression Ursula,Tropical Depression 22W,Tropical Cyclone,Tropical Depression,2003-10-29,2003,10,,"12,288","64,291",1,,,28,19,66.30,27.20,,
TropicalCyclone_2003-11-27_TyphoonAlertYoyoy,Typhoon Alert Yoyoy,Typhoon Lupit,Tropical Cyclone,Typhoon Alert,2003-11-27,2003,11,2003-11-30,,,,,,,,,,,
TropicalCyclone_2003-11-02_TropicalStormViring,Tropical Storm Viring,Severe Tropical Storm Melor,Tropical Cyclone,Tropical Storm,2003-11-02,2003,11,2003-11-03,,,2,35,,,,,,,
TropicalCyclone_2003-12-25_TropicalDepressionZigzag,Tropical Depression Zigzag,Tropical Depression 27W,Tropical Cyclone,Tropical Depression,2003-12-25,2003,12,2003-12-28,,,,,,,,,,,
TropicalCyclone_2004-11-14_TyphoonUnding,Typhoon Unding,Typhoon Muifa,Tropical Cyclone,Typhoon,2004-11-14,2004,11,2004-11-21,"1,209","15,076",71,160,69,"36,011","91,803",,358.16,,
TropicalCyclone_2004-11-22_TropicalStormVioleta,Tropical Storm Violeta,Tropical Storm Merbok,Tropical Cyclone,Tropical Storm,2004-11-22,2004,11,2004-11-26,"21,151","99,461",31,187,17,369,900,,71.64,,
TropicalCyclone_2004-11-28_TropicalDepressionWinnie,Tropical Depression Winnie,Tropical Depression Winnie,Tropical Cyclone,Tropical Depression,2004-11-28,2004,11,2004-11-30,"170,036","845,429",893,648,443,"8,889","12,578",,696.91,,
TropicalCyclone_2004-11-30_TyphoonYoyong,Typhoon Yoyong,Typhoon Nanmadol,Tropical Cyclone,Typhoon,2004-11-30,2004,11,2004-12-03,"383,575","1,939,835",73,168,24,"11,322","61,972",,625.27,,
TropicalCyclone_2004-08-24_TyphoonMarce,Typhoon Marce,Typhoon Aere,Tropical Cyclone,Tropical Cyclone,2004-08-24,2004,08,,"393,970","1,899,931",50,9,2,69,"2,464",1.17,147.49,,
Human-InducedHazard_1996-03-19_OzoneDiscoHouseFireIncident,Ozone Disco House Fire Incident,,Human-Induced Hazard,,1996-03-19,1996,03,,,342,156,90,96,,,,,,
Human-InducedHazard_1998-05-16_LungCenterofthePhilippinesFireIncident,Lung Center of the Philippines Fire Incident,,Human-Induced Hazard,,1998-05,1998,05,,,87,25,62,,,,,,1.70,
Human-InducedHazard_2002-04-11_MVCarmelaVesselFireIncident,MV Carmela Vessel Fire Incident,,Human-Induced Hazard,,2002-04-11,2002,04,,,388,25,88,108,,,,,,
Human-InducedHazard_2002-03-30_BasecoCompoundFireIncident,Baseco Compound Fire Incident,,Human-Induced Hazard,,2002-03-30,2002,03,,"3,000","15,000",2,8,4,,,300.00,"1,600.00",15.00,
Human-InducedHazard_2003-03-06_BasecoCompoundFireIncident,Baseco Compound Fire Incident,,Human-Induced Hazard,,2003-03-06,2003,03,,913,"2,700",1,,,,,,783.00,,
Human-InducedHazard_2004-01-11_BasecoCompoundFireIncident,Baseco Compound Fire Incident,,Human-Induced Hazard,,2004-01-11,2004,01,,"3,239","16,195",0,23,,,,,"2,500.00",40.00,
"Human-InducedHazard_2002-03-30_FireIncidentatBasecoCompound,NorthHarbor,BagongLupa,Tondo,Manila","Fire Incident at Baseco Compound, North Harbor, Bagong Lupa, Tondo, Manila",,Human-Induced Hazard,Fire,2002-03-30,2002,03,,"3,000","15,000",,,4,,,,15.00,,
"Flooding_2002-01-02_Flooding,BigWaves,andMass MovementWhichOccurredinMindanao","Flooding, Big Waves, and Mass Movement Which Occurred in Mindanao",,Flooding,,2002-01-02,2002,01,,"224,376","1,005,579",22,27,7,944,"4,950","432,327.00","240,327.00","51,217.00","723,810.00"
Human-InducedHazard_2002-02-27_ArmedConflictIncidentsinMaguindanaoProvince,Armed Conflict Incidents in Maguindanao Province,,Human-Induced Hazard,Armed Conflict,2002-02-27,2002,2,,"2,035","12,095",,3,,,,,,,
Others_2003-03-19_GasPoisoninginQuezonCity,Gas Poisoning in Quezon City,,Others,Gas Poisoning,2003-03-19,2003,03,,,100,,13,,,,,,,
Others_2002-05-21_LuzonWidePowerBlackout,Luzon Wide Power Blackout,,Others,Power Interruption,2002-05-21,2002,05,,,,,,,,,,,,
OtherWeatherDisturbances_2002-05-29_LightningIncidentinLibacaoAklan,Lightning Incident in Libacao Aklan,,Other Weather Disturbances,Lightning Incident,2002-05-29,2002,05,,,,6,6,,,,,,,
"Human-InducedHazard_2002-05-29_FireIncidentatBrgy.KampurhanIsabela,City,Basilan","Fire Incident at Brgy. Kampurhan Isabela, City, Basilan",,Human-Induced Hazard,Fire ,2002-05-29,2002,5,,517,"2,500",,1,,800,,,,,30.00
"Mass Movement_2002-09-10_Mass MovementIncidentinMonkayo,CompostelaValley","Mass Movement Incident in Monkayo, Compostela Valley ",,Mass Movement,Mass Movement,2002-09-10,2002,09,,,,1,2,,,,,,,
Human-InducedHazard_2002-09-07_CivilDisturbanceduetoMilitaryOperationsinSouthCotabato,Civil Disturbance due to Military Operations in South Cotabato,,Human-Induced Hazard,Civil Disturbance,2002-09-07,2002,09,,405,"2,025",,,,,,,,,
"Human-InducedHazard_as of October 10, 2002 21:00H_BombingIncidentatKidapawanCity",Bombing Incident at Kidapawan City,,Human-Induced Hazard,Bombing,2002-10-10,2002,10,,,,5,25,,,,,,,
"Human-InducedHazard_as of October 17, 2002 5:00PM_BombingIncidentsinZamboangaCity",Bombing Incidents in Zamboanga City,,Human-Induced Hazard,Bombing,2002-10-17,2002,10,,Shop-O-Rama Department Store (1st) (cant find),,3,80,1,,,,,,
"Human-InducedHazard_2002-10-14_VehicularAccidentinUpi,Maguindanao,Buguias,BenguetandIlagan,Isabela","Vehicular Accident in Upi, Maguindanao, Buguias, Benguet and Ilagan, Isabela",,Human-Induced Hazard,Vehicular Accident,2002-10-14,2002,10,,,,7,8,,,,,,,
"Human-InducedHazard_2002-10-12_ArmedConflictBetweentheAFPandMILFinSultanGumanderLanao,DelSur","Armed Conflict Between the AFP and MILF in Sultan Gumander Lanao, Del Sur",,Human-Induced Hazard,Armed Conflict,2002-10-12,2002,10,,,,,,,,,,,,
Human-InducedHazard_2002-10-03_BusofUnileverPhilippines,Bus of Unilever Philippines,,Human-Induced Hazard,Vehicular Accident,2002-10-03,2002,10,,,,4,17,,,,,,,
Human-InducedHazard_2002-10-02_GrenadeorBombExplosion,Grenade or Bomb Explosion,,Human-Induced Hazard,Bomb Explosion,2002-10-02,2002,10,,,,3,15,,,,,,,
"Human-InducedHazard_2002-11-26_VehicularAccidentinTuba,Benguet","Vehicular Accident in Tuba, Benguet",,Human-Induced Hazard,Vehicular Accident,2002-11-26,2002,11,,,,2,52,,,,,,,
"Human-InducedHazard_2002-11-26_ConstructionIncidentinCalauag,Quezon","Construction Incident in Calauag, Quezon",,Human-Induced Hazard,Construction Indicent,2002-11-26,2002,11,,,,2,2,,,,,,,
"Human-InducedHazard_2002-11-24_VehicularAccidentatTagkawayan,Quezon","Vehicular Accident at Tagkawayan, Quezon",,Human-Induced Hazard,Vehicular Accident,2002-11-24,2002,11,,,,33,,,,,,,,
"Infestation_as of November 22, 2002_MalayanRiceBlackBugInfestationinRegionVIII",Malayan Rice Black Bug Infestation in Region VIII,,Infestation,,2002-11-22,2002,11,,,,,,,,,2.10,,,
"Human-InducedHazard_2002-11-09_CapsizedBancasinDilasag,Aurora","Capsized Bancas in Dilasag, Aurora",,Human-Induced Hazard,Vehicular Accident,2002-11-09,2002,11,,,,1,,5,,,,,,
Human-InducedHazard_2002-11_CrashLandingofLaoagInternationalAirFlightL-7-585,Crash Landing of Laoag International Air Flight L-7-585,,Human-Induced Hazard,Vehicular Accident,2002-11,2002,11,,,,18,,1,,,,,,
Human-InducedHazard_2002-12-12_PlaneCrashinSto.TomasBatangas,Plane Crash in Sto. Tomas Batangas,,Human-Induced Hazard,Vehicular Accident,2002-12-12,2002,12,,,,3,9,,,,,,,
Human-InducedHazard_2002-12-17_PAFN22NomadPlaneAccident,PAF N22 Nomad Plane Accident,,Human-Induced Hazard,Vehicular Accident,2002-12-17,2002,12,,,,,,,,,,,,
"TropicalCyclone_as of July 25, 2002_TyphoonJuanandKaka",Typhoon Juan and Kaka,,Tropical Cyclone,Typhoon,2002-07-25,2002,07,,"3,692","19,048",14,2,,302,804,2.12,10.00,,12.12
"Human-InducedHazard_2006-11-01_ChemicalSpill/LeakSta.RosaUno,Marilao,Bulacan","Chemical Spill/ Leak Sta. Rosa Uno, Marilao, Bulacan ",,Human-Induced Hazard,Oil/Chemical Spillage,2006-11-01,2006,11,,210,"1,050",,29,,,,,,,
Human-InducedHazard_2006-08-11_Mt.SolarIOilSpillageGuimarasProvince,Mt. Solar I Oil Spillage Guimaras Province,,Human-Induced Hazard,Oil Spillage,2006-08-11,2006,08,,"7,870","39,004",,,2,,,,,,
"Human-InducedHazard_2005-12-18_OilSpillageinNortheastofSemiraraIsland,Caluya,Antique","Oil Spillage in Northeast of Semirara Island, Caluya, Antique",,Human-Induced Hazard,Oil Splillage ,2005-12-18,2005,12,,,,,,,,,,,,
Human-InducedHazard_2001-06-21_CarmonaOilSpil,Carmona Oil Spil,,Human-Induced Hazard,Oil Spillage,2001-06-21,2001,06,,,,,,,,,,,,
TropicalCyclone_1998-09-15_TyphoonEmangandTropicalStormGading,Typhoon Emang and Tropical Storm Gading,,Tropical Cyclone,Typhoon,1998-09-15,1998,9,1998-09-20,"335,699","1,749,414",108,22,10,,,"3,250.00","545,000.00",,"3,795.00"
Human-InducedHazard_1998-09-18_MVPrincessoftheOrientTragedy,MV Princess of the Orient Tragedy,,Human-Induced Hazard,Vehicular Accident,1998-09-18,1998,9,,,,70,80,,,,,,,
TropicalCyclone_1998-10-14_TyphoonIliang,Typhoon Iliang ,Typhoon Zeb,Tropical Cyclone,Typhoon,1998-10-14,1998,10,,"23,190","119,001",59,53,3,"1,257","7,708","120,000.00","731,000.00","288,000.00","2,219.00"
TropicalCyclone_2009-04-30_TropicalDepressionCrising,Tropical Depression Crising ,n/a,Tropical Cyclone,Tropical Depression,2009-04-30,2009,4,2009-05-02,,,2,,1,,,,,,5.00
TropicalCyclone_2009-05-01_TyphoonDante,Typhoon Dante,Typhoon Kujira,Tropical Cyclone,Typhoon,2009-05-01,2009,5,2009-05-05,"84,213","418,928",28,8,1,297,"3,460",625.71,597.12,,"73,187.00"
TropicalCyclone_2009-05-06_TyphoonEmong,Typhoon Emong,Typhoon Chan-hom,Tropical Cyclone,Typhoon,2009-05-06,2009,5,2009-05-10,,,,,,,,,,,
TropicalCyclone_2009-06-23_TyphoonFeria,Typhoon Feria,Tropical Storm Nangka,Tropical Cyclone,Typhoon ,2009-06-23,2009,6,2009-06-26,,,,,,,,,,,
TropicalCyclone_2009-07-09_TropicalDepressionGorio,Tropical Depression Gorio,Tropical Storm Soudelor,Tropical Cyclone,Typhoon,2009-07-09,2009,7,2009-07-10,,,,,,,,,,,
TropicalCyclone_2009-07-14_TyphoonIsang,Typhoon Isang,Typhoon Molave,Tropical Cyclone,Typhoon,2009-07-14,2009,7,2009-07-28,,,,,,,,,,,
TropicalCyclone_2009-07-30_TyphoonJolina,Typhoon Jolina,Tropical Storm Goni,Tropical Cyclone,Typhoon,2009-07-30,2009,7,2009-08-02,,,,,,,,,,,
TropicalCyclone_2009-08-03_TyphoonKiko,Typhoon Kiko,Typhoon Morakot,Tropical Cyclone,Typhoon,2009-08-03,2009,8,2009-08-07,"24,332","122,056",27,18,1,443,456,141.20,732.25,,
TropicalCyclone_2009-09-02_TyphoonLabuyo,Typhoon Labuyo,Severe Tropical Storm Dujuan,Tropical Cyclone,Typhoon,2009-09-02,2009,9,2009-09-05,"18,960","95,700",1,,,11,,,,,
TropicalCyclone_2009-09-08_TropicalDepressionMaring,Tropical Depression Maring,Tropical Storm Mujigae,Tropical Cyclone,Typhoon ,2009-09-08,2009,9,2009-09-09,"87,202","388,373",13,2,,3,20,236.69,68.20,,
TropicalCyclone_2009-09-12_TropicalDepressionNando,Tropical Depression Nando,Typhoon Koppu,Tropical Cyclone,Tropical Depression,2009-09-12,2009,9,2009-09-13,"13,677","68,022",3,3,,1,3,,,,
TropicalCyclone_2003-06-13_TropicalStormEgay,Tropical Storm Egay,Tropical Storm Soudelor,Tropical Cyclone,Tropical Storm,2003-06-13,2003,6,2003-06-18,"9,967","45,400",12,2,2,94,157,50.12,67.76,13.03,130.91
TropicalCyclone_2004-11-28_TropicalDepressionVioleta,Tropical Depression Violeta,Tropical Storm Merbok,Tropical Cyclone,Tropical Depression,2004-11-28,2004,11,,"21,151","99,461",26,14,4,337,821,209.82,39.70,,249.52
TropicalCyclone_1995-10-15_TyphoonLoleng,Typhoon Loleng,n/a??,Tropical Cyclone,Typhoon,1998-10-15,1998,10,1998-10-25,"910,912","4,582,120",303,751,29,"965,810","307,042",,"2,226.00",,
TropicalCyclone_1995-10-15_TyphoonLoleng,Typhoon Loleng,n/a??,Tropical Cyclone,Typhoon,1995-10-15,1995,10,1995-10-25,"910,912","4,582,120",303,751,29,"965,810","307,042",,"2,226.00",,
TropicalCyclone_1999-11-07_TyphoonSendang,Typhoon Sendang,Tropical Depression Frankie,Tropical Cyclone,Typhoon,1999-11-07,1999,11,,"23,110","54,152",24,7,9,256,"11,092",366089 M,220320 M,,
TropicalCyclone_1999-10-15_TyphoonRening, Typhoon Rening,Tropical Storm Eve,Tropical Cyclone,Typhoon,1999-10-15,1999,10,,"3,290","5,791",1,,,,,,,,
"TropicalCyclone_as of October 11, 1999_TyphoonPepang",Typhoon Pepang ,Typhoon Dan,Tropical Cyclone,Typhoon ,1999-10-11,1999,10,,"84,089","444,770",18,22,3,"2,336","11,091","Agriculture - 332, 385, 717.25, Fisheries - 8, 106, 260.00","National - 122,693,020.00, School Buildings - 6, 080, 000.00, Local - 122, 693, 020.00, Electric Posts - 5,000,000,.00, Others - 1, 111, 900.00",,"580,076,887.20 Million"
"TropicalCyclone_as of September 13, 1999_TyphoonNeneng", Typhoon Neneng,Severe Tropical Storm York,Tropical Cyclone,Typhoon,1999-09-13,1999,09,,"1,163","6,730",15,2,,52,112,,,,
TropicalCyclone_1999-08-20_TropicalStormLuding,Tropical Storm Luding,,Tropical Cyclone,Tropical Storm,1999-08-22,1999,08,,"7,089","35,222",10,23,1,34,373,29.43,128.40,,157.84
TropicalCyclone__TyphoonIsing,Typhoon Ising ,,Tropical Cyclone,Typhoon Ising ,,,,,"263,324","1,245,917",45,2,2,31,163,984.67,"115.541 (National), 154.034 (Provincial, Municipal, Barangay)",,
TropicalCyclone_1999-07-25_TyphoonHelming,Typhoon Helming,Severe Tropical Storm Neil,Tropical Cyclone,Typhoon,1999-07-25,1999,07,,11,55,,,1,3,,2.51,13.63,,16.14
TropicalCyclone_1963-07-01_TyphoonEtangandTropicalDepressionGening,Typhoon Etang and Tropical Depression Gening,Tropical Storm Virginia,Tropical Cyclone,Typhoon,1963-07-1,1963,07,1963-07-13,,,9,9,1,,,,,,
TropicalCyclone_2013-08-25_TropicalStormNando,Tropical Storm Nando,Tropical Storm Kong Rey,Tropical Cyclone,Tropical storm,2013-08-25,2013,8,2013-08-29,"3,699","17,741",1,1,0,0,10,not indicated,0.07,not indicated,0.07
TropicalCyclone_2013-11-06_TyphoonYolanda,Typhoon Yolanda,Typhoon Haiyan,Tropical Cyclone,Typhoon,2013-11-06,2013,11,2013-11-09,"3,424,593","16,078,181","6,300","28,688","1,062","550,928","589,404","25,248.04","9,584.60","24,431.17","105,314.00"
TropicalCyclone_2013-10-29_TyphoonVinta,Typhoon Vinta,Typhoon Krosa,Tropical Cyclone,Typhoon,2013-10-29,2013,10,2013-11-01,"55,369","265,769",4,1,2,"3,897","33,626",272.92,4.01,0.00,276.93
TropicalCyclone_2013-09-16_TyphoonOdette,Typhoon Odette,Typhoon Usagi,Tropical Cyclone,Typhoon,2013-09-16,2013,9,2013-09-22,"17,041","79,127",4,0,2,586,"2,877",32.32,308.02,,340.34
TropicalCyclone_2013-01-03_TyphoonAuring,Typhoon Auring,Typhoon Auring Sonamu,Tropical Cyclone,Typhoon,2013-01-03,2013,1,2013-01-04,"2,611","10,597",2,12,,63,122,,1.50,,1.50
TropicalCyclone_2013-01-11_TyphoonBising,Typhoon Bising,Tropical Depression Bising,Tropical Cyclone,Typhoon,2013-01-11,2013,1,2013-01-13,"5,454","16,801",,,,,,,,,"1,500,000.00"
TropicalCyclone_2013-02-18_TyphoonCrising,Typhoon Crising,Tropical Storm Shanshan,Tropical Cyclone,Typhoon,2013-02-18,2013,2,2013-02-21,"72,086","360,577",12,4,2,,,11.24,,,
TropicalCyclone_2013-06-20_TyphoonFabian,Typhoon Fabian,Tropical Storm Bebinca,Tropical Cyclone,Typhoon,2013-06-20,2013,6,2013-06-21,49,198,0,,,0,2,,,,
TropicalCyclone_2013-06-27_TyphoonRumbia,Severe Tropical Storm Gorio,Severe Tropical Storm Rumbia,Tropical Cyclone,Typhoon,2013-06-27,2013,6,2013-07-01,"1,329","6,418",7,4,,23,48,,,,1.82
TropicalCyclone_2013-08-09_TyphoonLabuyo,Typhoon Labuyo,Typhoon Utor,Tropical Cyclone,Typhoon,2013-08-09,2013,8,2013-08-12,"90,026","407,493",11,7,2,"2,592","18,605","1,004.58",573.83,,"1,578.41"
TropicalCyclone_2013-08-17_TyphoonMaring,Typhoon Maring,Typhoon Trami,Tropical Cyclone,Typhoon,2013-08-17,2013,8,2013-08-21,"697,263","3,110,165",32,3,3,654,"1,987",784.48,860.63,,"1,645.11"
TropicalCyclone_2013-09-26_TyphoonPaolo,Typhoon Paolo,Typhoon Wutip,Tropical Cyclone,Typhoon,2013-09-26,2013,09,2013-09-27,17,64,1,2,,,12,,,,
TropicalCyclone_2013-10-08_TyphoonSanti,Typhoon Santi,Typhoon Nari,Tropical Cyclone,Typhoon,2013-10-08,2013,10,2013-10-13,"179,603","733,181",15,32,5,,,"3,168.81",130.32,,"3,299.13"
TropicalCyclone_2014-01-17_TyphoonAgaton,Typhoon Agaton,Tropical Storm Lingling,Tropical Cyclone,Typhoon,2014-01-17,2014,1,2014-01-20,"236,449","1,092,398",70,86,9,"1,704","2,327",293.09,"2,674.92",26.73,"2,994.74"
TropicalCyclone_2014-01-30_TyphoonBasyang,Typhoon Basyang,Typhoon Kajiki,Tropical Cyclone,Typhoon,2014-01-30,2014,1,2014-02-01,"10,482","47,740",6,1,,65,325,0.61,8.54,,9.14
